,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,target
index_452,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6,1.6,0.4,0
index_453,1.0,2.8,2.4,20.4,6.7,8.9,5.7,1.7,3.1,17.0,1
index_454,4.7,2.6,0.1,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0
index_455,17.7,5.5,3.2,2.4,9.1,5.9,1.1,5.2,3.8,1.3,1
index_456,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.3,0.1,0
index_457,0.0,0.2,33.9,6.8,4.3,11.2,5.5,1.6,1.0,3.3,1
index_458,2.0,1.7,5.2,4.9,16.5,2.5,0.4,2.8,0.1,0.0,0
index_459,1.3,3.4,0.1,0.0,0.0,2.5,3.8,0.2,0.0,2.0,0
index_460,0.7,0.5,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0
index_461,0.3,4.3,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0
index_462,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.3,0.0,0
index_463,0.0,0.0,13.8,4.0,0.0,7.7,1.7,0.1,1.2,0.0,0
index_464,11.3,0.0,2.2,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0
index_465,0.0,10.2,0.0,1.2,0.3,0.0,0.1,0.0,1.3,18.0,0
index_466,4.2,10.5,6.3,9.1,0.0,1.5,0.0,8.8,18.3,6.6,1
index_467,6.1,9.1,4.5,1.5,1.0,5.4,0.0,1.2,2.2,25.2,1
index_468,1.5,9.8,8.6,4.4,0.1,2.2,4.2,0.0,0.0,0.0,0
index_469,0.0,0.7,0.8,0.4,0.0,0.0,0.0,0.0,1.5,19.8,0
index_470,0.7,0.0,0.0,3.5,1.2,10.5,4.4,3.6,2.0,2.5,0
index_471,2.2,1.9,1.6,3.2,2.5,1.0,6.3,2.2,1.0,0.8,0
index_472,6.9,1.7,5.5,14.9,1.4,7.1,0.3,5.3,0.7,3.3,0
index_473,1.9,3.3,0.2,1.2,0.1,9.2,2.7,2.4,0.4,0.0,0
index_474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0
index_476,0.0,0.0,8.4,0.0,20.3,3.1,2.7,4.7,1.2,6.3,0
index_477,8.3,9.4,2.0,0.3,0.1,0.1,0.1,1.1,11.5,0.0,0
index_478,7.4,14.6,7.8,5.6,7.9,4.3,3.5,0.0,0.4,0.0,0
index_479,5.4,4.6,0.5,12.6,0.2,2.0,2.6,1.7,4.1,9.3,0
index_480,4.3,5.6,2.5,0.8,0.0,0.0,0.0,3.9,2.2,0.6,0
index_481,0.0,1.0,0.2,0.0,8.8,0.4,0.1,9.6,12.0,1.0,0
index_482,0.2,0.9,1.4,1.6,1.6,0.2,1.9,2.9,1.0,5.2,0
index_483,2.9,12.8,1.7,2.9,0.8,0.2,7.8,3.1,9.1,0.0,0
index_484,0.0,0.0,0.4,6.6,1.2,6.7,8.4,7.6,0.5,0.0,0
index_485,0.0,0.0,1.8,0.0,0.0,7.5,20.8,0.0,2.5,0.8,0
index_486,0.4,0.0,9.6,3.5,24.7,3.5,1.2,5.3,0.0,4.8,0
index_487,1.8,6.9,3.9,11.3,10.1,0.5,8.9,0.8,0.0,1.7,0
index_488,6.1,3.7,1.8,7.2,8.7,6.6,4.0,8.5,9.0,6.1,1
index_489,7.4,10.6,1.4,1.3,0.0,0.0,9.9,2.0,10.0,18.6,1
index_490,0.0,0.0,0.0,0.2,3.0,0.5,1.3,2.4,3.8,8.9,0
index_491,8.0,7.6,0.8,7.7,3.5,3.7,10.0,11.1,5.9,0.0,1
index_492,11.8,3.0,4.8,18.1,6.3,1.8,0.9,8.7,0.3,0.7,1
index_493,0.5,2.7,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_494,15.4,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_495,0.0,0.0,0.0,2.2,14.3,0.0,0.3,0.7,8.9,9.2,0
index_496,1.1,7.8,11.4,13.4,10.4,1.1,2.1,0.0,0.0,0.0,0
index_497,0.0,0.0,0.0,0.0,0.6,0.0,0.0,2.6,1.1,2.0,0
index_498,2.5,0.1,0.0,0.0,2.2,0.1,0.0,2.2,3.0,0.8,0
index_499,5.2,11.0,0.5,1.6,1.4,0.8,0.0,0.0,0.0,0.0,0
index_500,0.0,1.3,0.2,0.0,1.1,5.4,2.7,0.0,0.0,0.0,0
index_501,0.0,0.0,0.0,7.4,9.7,2.5,6.0,0.0,1.3,3.4,0
index_502,0.4,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_503,0.8,0.3,0.0,0.3,9.4,2.2,0.9,11.2,10.1,9.1,0
index_504,7.6,2.4,0.5,0.9,11.8,7.4,1.1,9.9,11.1,1.4,0
index_505,3.8,4.1,0.3,0.0,0.0,0.0,0.0,4.4,0.0,1.0,0
index_506,1.7,0.6,0.6,4.8,1.1,4.7,0.4,3.6,5.8,4.7,0
index_507,1.0,1.4,1.2,1.1,0.8,0.0,7.3,0.6,2.4,4.9,0
index_508,2.4,2.2,1.4,6.1,6.3,1.2,2.1,3.5,6.6,0.0,0
index_509,5.7,18.3,8.1,0.1,0.0,0.0,0.0,0.0,0.0,7.5,0
index_510,0.3,2.4,5.1,6.1,1.0,0.0,0.0,0.0,0.0,2.7,0
index_511,1.0,1.0,0.0,0.0,0.0,0.0,3.6,2.4,1.8,0.0,0
index_512,0.0,4.7,11.4,6.9,8.6,28.3,0.9,0.8,1.2,6.7,1
index_513,4.0,0.0,0.0,0.0,1.9,4.1,0.0,0.0,0.0,13.5,0
index_514,1.0,0.0,2.3,0.4,0.0,0.0,0.0,0.0,0.0,8.9,0
index_515,2.7,0.3,1.2,17.1,0.1,0.0,16.2,1.4,0.3,5.5,0
index_516,1.3,0.0,5.2,15.7,1.2,0.0,0.8,1.8,0.0,0.0,0
index_517,0.0,3.8,1.9,1.6,2.3,1.3,0.1,0.3,7.0,4.1,0
index_518,9.7,2.9,0.0,2.1,0.8,0.0,0.0,0.6,0.0,11.7,0
index_519,31.7,1.9,0.1,2.4,0.8,2.8,1.4,4.2,6.9,17.3,1
index_520,6.2,1.3,0.9,0.0,0.0,0.0,0.7,2.3,0.0,9.4,0
index_521,1.6,1.2,0.3,0.0,1.3,1.2,0.0,1.8,28.1,8.2,0
index_522,16.3,2.3,2.2,2.8,1.8,0.4,20.6,10.5,1.5,4.6,1
index_523,2.7,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0
index_524,2.0,27.7,13.2,20.9,7.5,1.9,0.8,3.8,1.9,2.7,1
index_525,0.1,0.0,2.8,4.8,0.0,8.5,0.0,2.5,0.9,2.0,0
index_526,5.9,1.1,0.3,0.1,0.0,1.1,0.0,0.0,0.0,0.0,0
index_527,0.0,0.0,0.0,0.0,0.0,0.0,1.4,4.4,16.7,6.1,0
index_528,4.7,8.0,10.1,6.8,3.8,0.2,0.0,0.6,4.2,0.2,0
index_529,0.5,2.4,10.9,6.4,7.2,5.7,3.9,0.1,1.4,3.0,0
index_530,3.6,5.1,5.5,13.6,12.6,7.1,0.6,13.7,16.4,3.4,1
index_531,2.3,5.1,2.8,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0
index_532,0.0,5.2,8.8,0.0,6.8,8.7,8.0,3.8,1.4,4.4,0
index_533,0.0,0.0,0.9,6.2,6.4,3.6,21.6,9.0,7.4,9.2,1
index_534,6.2,5.4,17.2,9.7,8.0,7.5,11.3,0.0,5.3,5.6,1
index_535,5.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.8,0
index_537,1.9,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0
index_538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,7.4,2.0,0
index_539,0.0,1.2,1.3,0.0,0.0,0.0,0.5,2.2,7.0,3.7,0
index_540,3.0,3.7,2.2,0.2,2.7,18.2,7.1,0.1,2.5,2.9,0
index_541,3.6,1.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0
index_542,2.6,0.0,0.0,4.3,0.3,7.9,12.4,5.7,9.9,0.6,0
index_543,8.2,9.4,0.1,1.4,5.9,0.7,0.0,0.0,11.6,1.0,0
index_544,8.8,5.5,0.4,2.4,0.6,0.0,0.3,1.8,4.8,5.6,0
index_545,4.4,0.3,10.6,10.7,0.7,10.8,0.0,0.0,0.0,0.0,0
index_546,0.0,0.0,3.8,0.1,0.3,4.5,0.0,5.0,3.8,12.2,0
index_547,6.0,0.7,0.4,0.1,0.5,0.3,0.0,0.0,0.0,0.0,0
index_548,0.0,2.5,2.5,3.3,11.4,5.2,0.0,0.0,9.2,3.9,0
index_549,1.5,6.3,23.7,8.5,1.3,7.3,0.9,0.4,3.7,0.9,0
index_550,10.5,6.1,16.6,2.9,2.8,0.0,0.0,0.0,0.0,0.0,0
index_551,0.0,0.0,0.0,0.5,1.2,0.0,0.4,4.7,1.2,3.0,0
index_552,11.3,32.0,0.0,0.0,0.0,6.5,0.8,0.0,0.0,0.0,0
index_553,0.0,4.8,5.1,0.0,0.0,8.2,6.8,1.2,0.0,0.1,0
index_554,8.4,0.1,8.0,7.0,1.2,0.6,0.0,0.0,3.8,0.0,0
index_555,2.7,1.8,1.7,0.1,0.0,0.8,1.0,0.7,3.3,21.5,0
index_556,1.4,0.2,5.8,0.3,0.9,6.9,9.3,9.4,4.8,3.1,0
index_557,1.4,3.3,2.8,1.6,2.5,0.1,0.0,0.4,2.6,1.8,0
index_558,7.0,2.3,7.2,4.0,16.8,0.3,9.4,17.3,1.4,1.2,1
index_559,0.1,11.6,2.8,5.1,1.7,0.8,2.0,6.7,1.5,0.0,0
index_560,0.0,0.0,3.7,7.3,0.0,1.0,24.3,0.0,0.0,0.0,0
index_561,0.0,0.0,0.0,0.0,4.9,0.5,0.5,0.0,0.0,0.0,0
index_562,0.6,2.7,0.0,0.0,5.3,0.0,0.9,11.3,5.6,5.5,0
index_563,15.2,4.6,2.2,1.7,0.0,0.0,0.0,1.9,0.5,15.0,0
index_564,0.3,0.0,0.0,0.0,1.7,0.0,6.0,3.4,4.1,1.0,0
index_565,0.4,0.0,0.0,2.2,6.9,44.1,1.8,12.3,5.9,1.7,1
index_566,3.0,0.1,11.2,14.3,8.0,6.6,9.8,3.4,6.6,18.2,1
index_567,9.9,3.6,5.2,11.4,0.3,1.6,7.2,9.7,4.6,0.5,0
index_568,1.3,0.0,4.9,6.9,0.0,0.0,0.0,0.0,5.5,8.1,0
index_569,6.4,5.3,6.1,6.0,3.5,6.9,5.6,0.1,1.3,5.2,0
index_570,0.1,10.9,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_571,0.0,0.0,0.0,0.0,0.0,1.5,6.5,2.0,2.1,21.7,0
index_572,12.8,6.6,0.8,0.1,3.5,0.9,5.9,5.9,1.9,3.1,0
index_573,4.5,1.4,0.0,2.0,15.1,2.2,0.0,13.6,3.2,2.4,0
index_574,2.8,7.0,10.2,0.2,5.1,7.8,4.3,5.7,4.8,5.3,0
index_575,2.8,13.4,8.4,2.6,1.0,0.0,0.0,0.0,5.7,0.0,0
index_576,4.9,1.4,1.6,4.3,2.2,0.0,0.0,2.3,0.0,0.0,0
index_577,0.0,1.9,0.0,4.1,1.8,0.3,11.4,5.2,1.4,1.5,0
index_578,1.6,1.0,10.2,0.5,0.0,0.3,12.2,3.8,0.0,0.0,0
index_579,5.6,12.2,4.2,6.3,0.0,4.1,1.1,11.5,0.0,0.0,0
index_580,3.5,1.3,1.0,18.1,2.1,9.4,0.0,6.8,8.3,0.0,0
index_581,1.1,0.1,0.0,0.0,0.0,5.1,3.6,7.6,1.2,7.0,0
index_582,0.0,1.3,5.8,0.8,3.9,5.1,0.0,0.0,8.5,1.5,0
index_583,7.5,0.0,2.7,9.0,0.0,5.4,5.5,0.0,0.0,0.0,0
index_584,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.4,4.4,0.0,0
index_585,0.0,1.3,0.0,0.0,0.0,7.7,3.4,0.0,0.0,3.0,0
index_586,0.6,12.5,2.9,0.0,0.0,4.1,1.3,3.0,3.6,21.7,0
index_587,0.0,1.1,0.7,0.0,2.4,1.5,0.0,2.5,0.0,0.0,0
index_588,2.7,0.3,19.8,0.8,1.6,1.4,1.3,8.9,2.0,0.0,0
index_589,0.0,0.0,0.0,0.0,0.0,3.0,6.8,1.0,2.0,0.0,0
index_590,2.3,3.8,1.9,1.6,4.8,0.0,1.2,0.0,0.9,2.2,0
index_591,1.1,0.5,14.2,7.5,0.0,11.7,0.0,0.0,0.0,0.2,0
index_592,12.2,3.4,2.0,7.0,9.2,0.0,0.0,0.0,0.0,0.0,0
index_593,0.0,0.0,5.8,0.8,0.0,0.1,11.8,0.1,20.2,0.2,0
index_594,0.9,0.0,0.0,1.3,14.2,3.0,3.2,6.1,1.0,7.3,0
index_595,0.0,6.8,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_596,0.0,0.0,2.1,0.0,4.3,4.0,0.3,9.5,3.6,0.0,0
index_597,2.3,3.0,0.0,1.7,7.6,6.1,1.0,4.9,3.6,0.0,0
index_598,0.0,12.3,4.3,0.3,2.1,2.2,0.4,0.0,0.0,0.0,0
index_599,1.6,1.1,0.0,0.0,0.0,2.7,0.0,0.3,1.0,14.9,0
index_600,3.6,0.3,0.8,4.4,1.6,1.2,9.9,5.1,0.9,2.5,0
index_601,2.8,2.0,0.5,0.0,0.0,3.8,0.0,0.0,0.0,6.7,0
index_602,4.2,1.4,4.5,1.3,2.7,6.6,9.5,16.2,4.5,0.1,0
index_603,2.7,1.4,0.4,8.0,6.4,7.5,5.4,8.1,1.8,6.9,0
index_604,7.8,3.5,0.4,0.0,2.0,0.4,0.0,2.4,1.1,9.1,0
index_605,0.0,2.4,10.1,2.6,7.3,0.3,1.9,3.8,0.0,0.0,0
index_606,0.0,0.0,2.8,1.8,0.4,0.0,1.1,0.0,0.0,0.3,0
index_607,1.2,0.0,0.4,0.8,0.5,9.9,1.7,1.3,3.1,5.6,0
index_608,8.5,6.1,1.5,6.3,4.9,6.2,5.7,4.3,5.7,1.6,0
index_609,1.5,1.1,0.0,0.8,17.1,0.0,0.0,0.0,0.0,0.0,0
index_610,0.0,0.0,0.0,6.8,4.0,8.4,11.7,3.1,6.2,2.4,0
index_611,14.1,1.4,4.3,5.8,10.8,4.0,3.3,3.8,0.0,1.2,0
index_612,2.4,0.7,15.7,7.2,0.0,8.1,6.0,2.7,7.2,0.6,0
index_613,0.9,0.8,1.8,0.0,0.0,0.0,0.0,0.0,2.5,2.4,0
index_614,2.7,6.0,3.4,2.7,3.7,1.0,1.2,6.0,10.6,0.4,0
index_615,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_616,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3.1,5.9,8.1,0
index_617,6.9,0.9,0.0,0.0,0.0,0.0,0.0,2.8,1.3,1.4,0
index_618,9.8,4.7,2.7,0.1,2.5,0.0,0.0,0.0,0.0,0.0,0
index_619,0.0,0.0,0.0,0.0,0.0,19.5,6.7,10.6,27.1,4.0,1
index_620,8.5,2.2,1.2,5.4,0.0,3.9,0.5,0.0,6.1,0.0,0
index_621,2.9,0.4,0.0,2.2,0.0,0.4,0.0,0.0,0.0,0.0,0
index_622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.9,10.5,0
index_623,6.7,3.3,3.9,2.4,0.0,0.4,1.3,0.0,0.5,0.8,0
index_624,2.2,2.0,0.0,6.7,6.0,2.3,0.0,0.0,1.1,0.2,0
index_625,0.0,18.1,0.6,7.3,1.4,6.0,0.4,0.0,0.0,0.0,0
index_626,0.0,9.7,0.9,1.2,0.0,1.1,2.7,4.7,0.2,0.0,0
index_627,0.4,1.7,0.5,1.2,9.1,7.2,0.6,1.2,8.0,2.3,0
index_628,1.8,0.6,3.5,0.0,10.6,3.6,20.1,1.0,0.0,0.0,0
index_629,0.1,0.0,3.1,2.7,3.5,0.0,0.0,0.0,0.1,2.9,0
index_630,0.9,0.8,7.6,9.4,8.3,10.1,1.9,0.1,0.0,12.0,0
index_631,1.7,0.0,0.0,0.0,0.0,2.7,11.1,0.1,5.1,3.9,0
index_632,0.2,0.0,2.5,0.8,5.7,0.0,5.1,6.8,5.3,7.6,0
index_633,8.8,5.0,6.6,7.4,0.3,3.4,6.4,4.9,27.1,3.3,1
index_634,1.8,8.3,3.2,7.3,8.0,4.8,3.7,1.5,5.4,4.6,0
index_635,2.5,0.0,5.6,1.5,8.1,4.2,4.8,11.4,1.7,3.8,0
index_636,15.0,16.2,14.6,1.4,0.0,1.7,3.4,6.3,0.0,2.6,1
index_637,2.4,2.6,0.0,4.7,8.2,5.6,1.1,0.0,0.0,0.0,0
index_638,1.6,0.0,0.0,0.0,0.2,6.7,1.4,9.9,3.7,7.0,0
index_639,15.8,1.7,0.6,0.5,0.0,0.0,2.2,3.8,2.7,4.3,0
index_640,0.0,0.1,0.0,0.4,0.4,1.0,1.6,0.0,3.5,6.3,0
index_641,1.3,3.9,6.1,7.9,7.4,2.2,3.0,2.3,4.5,2.1,0
index_642,2.1,8.7,4.9,2.1,8.4,5.3,8.8,4.5,2.9,3.0,0
index_643,15.9,0.0,0.0,5.9,11.7,10.8,2.3,9.4,5.3,3.4,1
index_644,0.1,0.0,0.0,0.0,0.0,0.0,0.2,1.1,2.2,2.4,0
index_645,0.0,4.9,7.8,2.2,6.8,5.4,8.4,5.2,4.6,1.1,0
index_646,0.8,0.0,1.2,4.1,5.9,0.2,0.0,0.0,0.0,0.0,0
index_647,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0
index_648,0.0,1.2,0.3,0.0,4.9,0.0,0.5,0.0,0.0,0.0,0
index_649,0.0,0.0,0.0,0.0,2.1,3.6,10.1,3.3,4.6,5.4,0
index_650,3.7,4.6,3.5,4.4,11.8,4.7,4.0,3.6,0.1,0.0,0
index_651,0.3,0.2,3.1,4.4,0.4,6.1,4.1,1.7,1.5,0.1,0
index_652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.6,0
index_653,0.2,0.4,3.0,0.0,4.2,1.4,0.0,0.0,2.3,3.6,0
index_654,2.5,6.5,0.9,0.1,0.0,0.0,7.0,0.6,1.1,0.0,0
index_655,0.0,0.0,3.5,7.8,2.6,2.9,8.4,1.5,0.0,0.0,0
index_656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0
index_657,0.4,0.0,0.0,1.3,2.2,0.0,0.0,0.3,0.0,1.6,0
index_658,1.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_659,0.0,0.3,1.6,2.2,2.9,3.9,12.7,2.5,2.9,1.9,0
index_660,4.8,14.1,7.7,7.5,0.0,0.0,3.0,1.8,0.0,0.0,0
index_661,0.0,0.0,0.0,0.0,1.1,1.8,0.0,12.1,0.0,1.8,0
index_662,9.4,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_663,0.0,0.0,0.0,0.0,2.3,0.9,0.0,0.0,0.0,0.0,0
index_664,16.7,1.1,0.0,0.0,0.0,0.0,0.0,1.9,1.1,54.8,1
index_665,0.3,0.0,1.3,21.1,24.8,0.0,6.6,0.1,0.0,0.0,0
index_666,0.0,0.0,0.0,0.0,0.0,7.0,4.9,1.5,0.9,0.0,0
index_667,2.7,0.0,0.0,5.8,5.2,19.4,0.8,11.1,0.0,0.2,0
index_668,0.0,0.0,0.0,0.0,5.9,15.3,6.4,5.6,4.2,8.1,0
index_669,3.6,1.0,11.8,6.9,7.4,2.2,3.2,8.9,4.1,0.9,0
index_670,0.4,0.3,0.0,5.7,6.4,7.4,27.9,0.6,5.6,3.5,1
index_671,3.6,4.5,0.3,5.9,4.0,1.0,0.0,0.0,0.0,1.6,0
index_672,0.0,0.0,5.5,1.9,17.6,11.1,2.6,22.8,24.7,0.0,1
index_673,0.0,3.1,0.0,2.0,0.0,1.0,22.6,6.2,2.3,11.0,0
index_674,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.1,11.0,6.4,0
index_675,7.6,2.7,0.5,0.0,2.3,0.0,0.0,0.6,3.1,0.1,0
index_676,3.6,0.1,0.3,0.0,0.0,0.7,2.2,0.1,8.0,24.4,0
index_677,7.3,11.0,9.0,4.1,2.9,0.1,16.2,1.0,11.2,4.5,1
index_678,18.1,34.5,0.0,0.3,0.3,0.3,0.1,0.6,0.5,0.4,1
